,Libelle1,voie,CP,Ville,surface,lat,long
2162,Bibliotheque Municipale  Gornac,1 place de la mairie,33540,Gornac,70.0,44.662419,-0.181675
2164,Bibliotheque Municipale de l'Isle Saint-Georges,14 place de l'eglise,33640,Isle Saint-Georges,60.0,44.724939,-0.472363
2165,Mediatheque Municipale,3 rue des Ar,33360,Latresne,165.0,44.787106,-0.484868
2166,Bibliotheque Mediatheque Municipale,1 BIS AVENUE DES ECOLES,33950,Lege-Cap-Ferret,760.0,44.725906,-1.201728
2167,Bibliotheque Communaute De Communes Medoc Coeur de Presqu'i,37 COURS DU MARECHAL DE LATTRE DE TASSIGNY,33340,Lesparre-Medoc,86.0,45.305575,-0.936091
2168,Bibliotheque Municipale de Lestiac-sur-Garonne,1 Chemin de l'Eglise,33550,Lestiac-sur-Garonne,40.0,44.694281,-0.374648
2169,Mediatheque Municipale,PLACE DES RECOLLETS,33500,Libourne,1800.0,44.915908,-0.239782
2170,Bibliotheque Paul DUCHESNE,1 rue de la Mairie,33290,Ludon-Medoc,70.0,44.981485,-0.601055
2171,Bibliotheque De Maransin,le bourg,33230,Maransin,40.0,45.072234,-0.267513
2172,Mediatheque municipale Claude Rouzier-Toussain,Place Marcel Vayssiere,33650,Martillac,170.0,44.713855,-0.543075
2175,Bibliotheque Municipale,97 Route de la Souloire,33750,Nerigean,53.0,44.841769,-0.28997
2176,Mediatheque De  Noaillac,1 rue le bourg,33190,Noaillac,1636.0,44.516314,-0.010436
2177,Bibliotheque Municipale De Paillet,Place du General de Gaulle,33550,Paillet,100.0,44.6854994592,-0.361810561695
2178,Bibliotheque Municipale De Quinsac,16 Place Aristide Briand,33360,Quinsac,274.0,44.754898,-0.488402
2179,Bibliotheque Municipale,1 rue de la republique,33860,Reignac,60.0,45.234075,-0.507655
2181,Mediatheque Municipale,25 BIS RUE EMILE DANTAGNAN,33240,Saint-Andre-de-Cubzac,500.0,44.994475,-0.445399
2182,Bibliotheque Municipale La Source,1 Place de l,33920,Saint-Christoly-de-Blaye,70.0,45.13028,-0.509074
2183,Bibliotheque de Saint-Christophe-des-Bardes,4 le Bourg,33330,Saint-Christophe-des-Bardes,70.0,44.895635,-0.124147
2184,Bibliotheque municipale,20 rue Francois Mauriac,33910,Saint-Ciers-d'Abzac,60.0,45.031124,-0.278455
2186,Mediatheque Danielle Mitterrand,5 RUE DU PETIT VILLAGE,33820,Saint-Ciers-sur-Gironde,500.0,45.291874,-0.614975
2187,Mediatheque Municipale de Sainte-Eulalie,14 rue Georges Portmann,33560,Sainte-Eulalie,631.0,44.904584,-0.474077
2188,Point lecture,Place Saint-Pierre,33250,Saint-Julien-Beychevelle,42.0,45.16426,-0.739294
2189,Mediatheque de Saint-Mariens,1 place de la mairie,33620,Saint-Mariens,117.0,45.116791,-0.403322
2190,Point Lecture,6 LE BOURG,33490,Saint-Martial,35.0,44.637487,-0.175347
2191,Bibliotheque Municipale Saint Romain La Virvee,38 ROUTE DE CADILLAC,33240,Saint-Romain-la-Virvee,20.0,44.965647,-0.399482
2192,Mediatheque Municipale,4 Avenue Georges Clemenceau,33660,Saint-Seurin-sur-l'Isle,560.0,45.0147,-0.000848
2195,Mediatheque Municipale de Salles,21 allee Felix Arnaudin,33770,Salles,130.0,44.550864,-0.864648
2196,Bibliotheque de Saumos,7 avenue du medoc,33680,Saumos,55.0,44.921204,-0.986603
2198,Bibliotheque Municipale,16 route de Pauillac,33460,Soussans,43.0,45.056151,-0.699942
2199,Mediatheque Municipale l'EKLA,67 rue des pins,33470,Le Teich,170.0,44.623604,-1.027612
"2200,""La Biblio, bibliotheque de lecture publique"",PLACE JEAN HAMEAU,33260,La Teste-de-Buch,295.0,44.632617,-1.145219"
2202,Bibliotheque Municipale de Marcheprime,4 Avenue de la Republique,33380,Marcheprime,120.0,44.691978,-0.85448
2203,Bibliotheque Municipale,3 Place Etienne SANIER,34150,Aniane,120.0,43.685835,3.58562
2204,Bibliotheque Municipale,Place du 14 juillet,34480,Autignac,90.0,43.498758,3.168406
2206,Mediatheque Municipale,19 BIS avenue de l'Abbe Tarroux,34600,Bedarieux,594.0,43.617685,3.155392
2208,Bibliotheque De La Boissiere,6 RUE DE LA POSTE,34150,La Boissiere,30.0,43.663117,3.644923
2209,Bibliotheque Municipale De Le Bosc,ROUTE DE SAINT-ALBAN,34700,Le Bosc,80.0,43.705182,3.395874
2211,Bibliotheque Municipale,1 rue du Four,34160,Buzignargues,20.0,43.770526,4.00499
2212,Bibliotheque Le Bourniou,10 rue de l'eglise,34800,Cabrieres,50.0,43.576214,3.362271
2217,Georges Freche,11 Avenue Amedee Borrel,34370,CAZOULS LES BEZIERS,450.0,43.393445,3.09658
2219,Mediatheque Albert Camus,12 rue Albert Camus,34830,Clapiers,1200.0,43.655146,3.881043
2222,Bibliotheque Municipale,20 B PLACE CAMILLE SALLAN,34660,Cournonterral,240.0,43.557456,3.71591
2223,Bibliotheque Municipale de Creissan,Square Alban Calmel,34370,Creissan,80.0,43.3771624265,2.99976062143
2229,Bibliotheque Paul Valery,10 Avenue de Bedarieux,34600,Herepian,50.0,43.593736,3.116276
2230,Mediatheque Theodore Monod,2 Rue du Poumpidou,34990,Juvignac,646.0,43.612872,3.805009
2231,Bibliotheque Municipale,RUE Place St Jean,34130,Lansargues,130.0,43.651352,4.072485
2232,Mediatheque Albertine Sarrazin,AVENUE DES FRERES BOYER,34490,Lignan-sur-Orb,320.0,43.384127,3.168029
2233,Mediatheque Kalliope,6 Avenue de,34480,Magalas,242.0,43.471804,3.224881
2234,Mediatheque GASTON BAISSETTE,106 BOULEVARD DE LA LIBERTE,34130,Mauguio,950.0,43.614688,4.01217
2235,Mediatheque De L'ancre,Rue du levant,34130,CARNON,450.0,43.54661,3.978933
2236,Bibliotheque Municipale,Allee Jean Moulin,34570,Montarnaud,195.0,43.651949,3.700528
2241,Bibliotheque Municipale,16 RUE MAZES,34150,Montpeyroux,47.0,43.693439,3.503288
2242,Bibliotheque Municipale,Place Jean Moulin,34800,Nebian,65.0,43.606224,3.431094
2244,Bibliotheque De Puilacher,rue des ecoles,34230,Puilacher,25.0,43.567012,3.506402
2247,Bibliotheque Municipale,5 rue des fontaines,34725,Saint-Andre-de-Sangonis,170.0,43.650484,3.50483
2249,BIBLIOTHEQUE MUNICIPALE,0 avenue Razimbaud,34150,Saint-Jean-de-Fos,40.0,43.698176,3.553698
2250,Bibliotheque Municipale,3 avenue Grand Chemin,34700,Saint-Jean-de-la-Blaquiere,90.0,43.714024,3.422273
2251,Mediatheque Pierre Granier,place de l'eveche,34220,SAINT PONS DE THOMIERES,60.0,43.488294,2.760486
2253,Bibliotheque Municipale,2 place de la mairie,34230,Vendemian,72.0,43.580951,3.561852
2255,Mediatheque Municipale,22 bis Rue Abbe Barbedet,35690,Acigne,437.0,48.134003,-1.536358
2257,Bibliotheque,13 bis rue Saint Martin,35500,Balaze,130.0,48.168404,-1.191909
2258,Bibliotheque Municipale Anim'livres,6 RUE DE LA LIBERATION,35190,La Baussaine,65.0,48.312875,-1.899356
2261,Bibliotheque Municipale,SQUARE DU DR LAMBERT,35190,Becherel,75.0,48.296743,-1.946111
2262,Bibliotheque municipale,5 rue des Rosiers,35137,Bedee,110.0,48.178776,-1.943753
2263,Bibliotheque Municipale,24 place de l'Eglise,35270,Bonnemain,92.0,48.466924,-1.766275
2264,Bibliotheque municipale de La Bosse de Bretagne,1 rue de la bascule,35320,La Bosse-de-Bretagne,50.0,47.869906,-1.598071
2265,Bibliotheque Municipale,20 RUE JEAN-MARIE PAVY,35340,La Bouexiere,350.0,48.185088,-1.440929
2266,Bibliotheque Municipale,3,35370,Breal-sous-Vitre,40.0,48.098174,-1.063575
2267,La Cedille,4 rue Joseph Berree,35160,Breteil,210.0,48.145679,-1.900126
2268,Bibliotheque Municipale,10 AVENUE DU GENERAL DE GAULLE,35170,Bruz,920.0,48.02352,-1.744768
2269,Bibliotheque Jean Zay,2 PLACE DE LA MAIRIE,35190,La Chapelle-aux-Filtzmeens,120.0,48.383779,-1.824752
2270,Bibliotheque Municipale de la Chapelle-Bouexic,19 rue de la Mairie,35330,La Chapelle-Bouexic,140.0,47.92906,-1.94068
2271,Mediatheque,1 RUE DE LA CONTERIE,35176,Chartres-de-Bretagne,850.0,48.0451561683,-1.70650297343
2273,Bibliotheque Municipale,24 rue du Fort,35430,Chateauneuf-d'Ille-et-Vilaine,115.0,48.563512,-1.927258
2274,Bibliotheque Municipale,7 Place du Chene-Vert,35310,Cintre,180.0,48.106166,-1.873275
2275,Mediatheque Les Sources,5 RUE DU LINON,35270,Combourg,640.0,48.409509,-1.748997
2276,Bibliotheque Municipale,1 RUE JANZE,35150,Corps-Nuds,115.0,47.977976,-1.587023
2278,Mediatheque Municipale d'Erce pres Liffre,Place de la mairie,35340,Erce-pres-Liffre,318.0,48.255939,-1.516931
2280,Mediatheque La Parenthese,2 allee des sports,35850,Geveze,350.0,48.223001,-1.799423
2281,Mediatheque Municipale de Gosne,Place du Calvaire,35140,Gosne,101.0,48.246975,-1.467167
2282,Bibliotheque Municipale De Janze,Les Halles,35150,Janze,325.0,47.960133,-1.498017
2284,Bibliotheque Municipale De Langan,3 Place Jean Gilbert,35850,Langan,80.0,48.24521,-1.852184
2285,Mediatheque de Langon,5 Rue de la Gremairie,35660,Langon,100.0,47.720916,-1.84801
2286,Mediatheque De Livre-Sur-Changeon,9 RUE JEAN-LOUIS GUERIN,35450,Livre-sur-Changeon,120.0,48.218557,-1.344135
2287,Bibliotheque Municipale,30 rue de la poste,35550,Loheac,85.0,47.866907,-1.885109
2290,Mediatheque L'Envol,12 PLACE SAINTE-ANNE,35640,Martigne-Ferchaud,250.0,47.831339,-1.32025
2291,Mediatheque Municipale,3 rue Cawiezel,35480,Guipry Messac,240.0,47.824592,-1.808662
2292,Mediatheque Municipale,PLACE DE LA MAIRIE,35140,Mezieres-sur-Couesnon,110.0,48.29631,-1.432749
2293,Mediatheque Municipale L'Embarc@dere,2 RUE DE LA MOTTE,35760,Montgermont,326.0,48.158076,-1.715467
2294,Bibliotheque De Montreuil Sous Perouse,Place de la Mairie,35500,Montreuil-sous-Perouse,90.0,48.150671,-1.235483
2295,Mediatheque Pre en Bulles,12 rue de Chateaugiron,35410,Nouvoitou,427.0,48.041376,-1.544923
2296,Mediatheque d'Orgeres,5 PLACE DE L'EGLISE,35230,Orgeres,380.0,47.995725,-1.668559
2297,Bibliotheque municipale de Pance,3 rue du Tertre Gris,35320,Pance,40.0,47.882579,-1.662665
2299,Bibliotheque Municipale,17 rue du general De Gaulle,35540,Plerguer,84.0,48.527816,-1.846929
2300,Bibliotheque municipale,45 rue de Rennes,35320,Poligne,90.0,47.888566,-1.688101
2303,Mediatheque Municipale,8 rue du docteur WAGNER,35650,Le Rheu,1583.0,48.099243,-1.796502
2304,Bibliotheque De Saint Didier,LA VIGNE CARREE,35220,Saint-Didier,209.0,48.093923,-1.371294
2305,Bibliotheque De St Georges De Chesne,1 Place de la Mairie,35140,Saint-Georges-de-Chesne,60.0,48.274117,-1.291152
2306,Bibliotheque De Saint-Germain-Du-Pinel,2 rue de la gare,35370,Saint-Germain-du-Pinel,30.0,48.012165,-1.16672
2307,Mediatheque de Saint-Marc-le-Blanc,10 rue du Lavoir,35460,SAINT-MARC-LE-BLANC,235.0,48.365932,-1.408444
2308,Mediatheque Municipale,8 rue de la minoterie,35600,Sainte-Marie,50.0,47.693463,-2.003022
2309,Bibliotheque Municipale,15 rue des ecoles,35250,Saint-Medard-sur-Ille,64.0,48.272901,-1.658553
2310,La Vague Des Mots,6 rue Jean Monnet,35430,Saint-Pere,50.0,48.588425,-1.922529
2311,Bibliotheque de Saint Sulpice la Foret,5 Route de Saint Denis,35250,Saint-Sulpice-la-Foret,70.0,48.217759,-1.578944
2312,Lecture Et Culture,16 rue de Tourdelin,35190,Saint-Thual,60.0,48.335414,-1.933845
2313,Mediatheque Mega Media,36 RUE ONFFROY DE LA ROSIERE,35550,Sixt-sur-Aff,400.0,47.776085,-2.074734
2314,Mediatheque les Forges,Place Jean Provost,35190,Tinteniac,317.0,48.326894,-1.836275
2315,Bibliotheque,12 rue de Broceliande,35380,Treffendel,150.0,48.039906,-2.006399
2316,Mediatheque Municipale,8 enclos Mathurin Boury,35130,Visseiche,129.0,47.954968,-1.301922
2317,Bibliotheque Municipale,4 rue du Berry,36140,Aigurande,153.0,46.435332,1.829991
2319,Mediatheque Municipale,place de Verdun,36500,Buzancais,500.0,46.88838,1.418834
2320,Bibliotheque Francois Bailly,10 rue de la croix de la mission,36230,Cluis,40.0,46.5352767635,1.74340331959
2321,Bibliotheque Municipale,1 route des templiers,36140,Crevant,20.0,46.486217,1.947223
2323,Bibliotheque municipale,19 rue Jules Ferry,36270,eguzon-Chantome,96.0,46.440775,1.584292
2324,Mediatheque Municipale,AVENUE DE BEL-AIR,36100,Issoudun,2600.0,46.941099,1.999235
2325,Association Loisirs et detente,Mairie,36400,Lacs,12.0,46.567773,1.998514
2326,Bibliotheque Municipale,9 Place Pascaud,36200,Le Menoux,45.0,46.553973,1.569398
2327,Bibliotheque Gabriel Nigond,4 place Mairie,36200,Badecon-le-Pin,20.0,46.54053,1.588718
2328,Bibliotheque Municipale,1 rue de Meobecq,36800,Le Pont-Chretien-Chabenet,20.0,46.629863,1.48105
2329,Bibliotheque municipale,1 LA CROIX BLEUE,36170,Roussines,45.0,46.468329,1.389327
2330,Bibliotheque Municipale,1 rue Beauregard,36170,Saint-Benoit-du-Sault,32.0,46.440462,1.390678
2332,Mediatheque Raymonde Vincent,Place de la Mairie,36250,Saint-Maur,250.0,46.805002,1.639484
2334,Bibliotheque Municipale,Mairie,36310,Tilly,40.0,46.408453,1.215078
2336,Bibliotheque Municipale,2 rue Fontaine,36600,Veuil,40.0,47.120948,1.525617
2337,Bibliotheque municipale,8 rue de l'Eglise,36600,Vicq-sur-Nahon,60.0,47.107425,1.529541
2338,Mediatheque Aime Cesaire,17 RUE DU CLOS DES GARDES,37400,Amboise,1430.0,47.396751,0.984464
2339,Mediatheque Municipale La Canopee,13 place de la Republique,37190,Azay-le-Rideau,467.0,47.261797,0.467498
2340,Bibliotheque de Barrou,4 rue de la mairie,37350,Barrou,55.0,46.865527,0.771572
2341,Bibliotheque de Champigny-sur-Veude,2 rue des Minimes,37120,Champigny-sur-Veude,162.0,47.062229,0.317769
2342,Bibliotheque municipale - Espace Julia Daudet,1 impasse Beaujardin,37530,Charge,81.0,47.433312,1.029802
2343,Bibliotheque de Charnizay,2 place du 8 mai 1945,37290,Charnizay,35.0,46.913521,0.985867
2345,Bibliotheque d'Epeigne-les-Bois,4 rue La Fontaine,37150,epeigne-les-Bois,26.0,47.280835,1.112445
2347,Bibliotheque de Loche-sur-Indrois,2 place de l'eglise,37460,Loche-sur-Indrois,36.0,47.092713,1.219335
2348,Bibliotheque de Lussault-sur-Loire,2 route de Tours,37400,Lussault-sur-Loire,50.0,47.398354,0.92482
2349,Bibliotheque Municipale,Place Charles De Gaulle,37380,Monnaie,154.0,47.50121,0.78549
2350,Bibliotheque de Noizay La Hotte a Livres,Place Gambetta,37210,Noizay,113.0,47.421672,0.891107
2351,Bibliotheque de Parcay-Meslay,58 rue de la mairie,37210,Parcay-Meslay,95.0,47.441255,0.745363
2352,Bibliotheque de Perrusson Maurice Mardelle,5 rue de l'ecole,37600,Perrusson,218.0,47.100501,1.012485
2354,Mediatheque Michel Serres,126 RUE DE CANGE,37550,Saint-Avertin,2000.0,47.366063,0.752836
2355,bibliotheque le Clos du Poete,place de la mairie,37140,COTEAUX SUR LOIRE,53.0,47.282241,0.26492
2356,Bibliotheque Municipale de Savigne-sur-Lathan,Place Jacques du Bellay,37340,Savigne-sur-Lathan,70.0,47.444945,0.322272
2357,Bibliotheque Associative de Sonzay,45 rue du 8 mai 1945,37360,Sonzay,100.0,47.52359,0.454735
2359,Bibliotheque Municipale,2 rue des lavandieres,37260,Thilouze,60.0,47.223687,0.579166
2362,Bibliotheque Municipale de Veretz,RUE MOREAU VINCENT,37270,Veretz,95.0,47.358679,0.805745
2363,Bibliotheque de Villeloin-Coulange,18 rue de Nouans,37460,Villeloin-Coulange,40.0,47.138812,1.224414
2364,Bibliotheque de la Batie-Divisin,130 route de recoin,38490,Les Abrets en Dauphine,240.0,45.510181,5.599524
2365,Bibliotheque Municipale Henri Bodet,Montee de la Barre,38280,Anthon,162.0,45.789326,5.169867
2366,Bibliotheque la Sirene,25 place Buissiere,38140,Apprieu,136.0,45.398797,5.504095
2368,Bibliotheque Municipale,219 Grande rue,38530,BARRAUX,70.0,45.434743,5.978317
2371,Bibliotheque Municipale de Brangues Les Liserons,Place Paul Claudel,38510,Brangues,35.0,45.694512,5.528461
2373,Bibliotheque Municipale,Rue de la poste,38110,Cessieu,150.0,45.567061,5.374471
2374,Mediatheque Municipale De la Chapelle de la Tour,117 Boulevard de la mairie,38110,La Chapelle-de-la-Tour,45.0,45.584974,5.464948
2375,Bibliotheque De Chevrieres,110 Impasse de l'ecole,38160,CHEVRIERES,100.0,45.188688,5.291543
2376,Bibliotheque Municipale,rue la poste,38570,LE CHEYLAS,100.0,45.37193,5.991896
2377,Bibliotheque,30 Chemin de Chavagnant,38300,Chezeneuve,30.0,45.562303,5.222166
2379,Mediatheque intercommunale Gilbert Dalet,92 Avenue de la Resistance,38920,CROLLES,1695.0,45.285097,5.884811
2380,Mediatheque De Faverges De La Tour,90 Rue de la Rolandiere,38110,Faverges-de-la-Tour,75.0,45.590727,5.524792
2385,Bibliotheque Municipale,6 Place de l'eglise,38118,Hieres-sur-Amby,255.0,45.797211,5.29263
2387,Biblliotheque,123 route du Taillefer,38350,LAVALDENS,50.0,44.981849,5.886581
2388,Bibliotheque Municipale de Leyrieu,35 Rue de l'ancienne mairie,38460,Leyrieu,60.0,45.758004,5.257334
2389,Bibliotheque Municipale,Route des Alpes,38220,LIVET-ET-GAVET,120.0,45.09074,5.902697
2396,Bibliotheque Municipale de Miribel les Echelles,760 rue du bourg,38380,MIRIBEL-LES-ECHELLES,150.0,45.430478,5.708554
2399,Bibliotheque Municipale,172 rue Ravier,38510,Morestel,104.0,45.676158,5.46976
2403,Bibliotheque Intercommunale,3 Place Victor Collomb,38144,NOTRE DAME DE VAULX,100.0,44.98705,5.749017
2404,Mediatheque Tete de reseau Le Percy,Le village,38930,LE PERCY,150.0,44.800883,5.648812
2405,Bibliotheque De Pressins,1175 Route du village,38480,Pressins,58.0,45.524234,5.627326
2407,Bibliotheque Municipale l'Ile aux livres,4 Rue Cesar Geoffrey,38550,Sablons,67.0,45.319666,4.768754
2408,Mediatheque Roger Gallien Saint Andre le Gaz,20 Rue Lavoisier,38490,Saint-Andre-le-Gaz,64.0,45.546749,5.534049
2410,Mediatheque Municipale,Place de la Mairie,38110,Saint-Clair-de-la-Tour,135.0,45.573403,5.479061
2411,Mediatheque La gare des mots,30 Rue de la correspondance,38840,SAINT HILAIRE DU ROSIER,70.0,45.070797,5.243544
2412,Bibliotheque Municipale,Le Clos Faure,38330,SAINT ISMIER,320.0,45.248646,5.819408
2415,Bibliotheque Municipale De Saint Just  De Claix,95 place du 19 mars,38680,SAINT JUST DE CLAIX,140.0,45.073929,5.283907
2416,Bibliotheque Gabriel Peri,16 AVENUE PIERRE BROSSOLETTE,38400,Saint Martin D'heres,298.0,45.188956,5.754786
2417,Mediatheque Du Pays Roussillonnais,Rue de la Commune 1871,38550,Saint-Maurice-l'Exil,690.0,45.394488,4.775173
2418,Bibliotheque Municipale,385 chemin du village,38330,SAINT NAZAIRE LES EYMES,176.0,45.246932,5.851539
2419,Bibliotheque Municipale,Chemin de l'alphabet,38760,SAINT PAUL DE VARCES,105.0,45.072295,5.646933
2420,Bibliotheque Municipale De Serpaize,63 Route de Premoulon,38200,Serpaize,167.0,45.558015,4.916886
2421,Bibliotheque Municipale Siccieu St Julien Et Carizieu,1 Place de la mairie,38460,Siccieu-Saint-Julien-et-Carisieu,42.0,45.735557,5.316707
2422,Bibliotheque Municipale,Chemin du Chat,38570,THEYS,70.0,45.30169,5.995996
2423,Bibliotheque Municipale,56 impasse des Allemans,38740,VALBONNAIS,100.0,44.898628,5.911312
2426,Bibliotheque Municipale,71 impasse du champ de foire,38410,VAULNAVEYS LE HAUT,120.0,45.119419,5.810057
2427,Bibliotheque Municipale,8 place de l'eglise,38090,Vaulx-Milieu,60.0,45.611853,5.18183
2429,Bibliotheque Municipale,24 B avenue Rivalta,38450,VIF,150.0,45.055144,5.671666
2430,Bibliotheque Municipale De Vignieu,Allee de la Violette,38890,Vignieu,45.0,45.629053,5.42488
2433,Mediatheque de Ville sous Anjou,Rue des ecoles,38150,Ville-sous-Anjou,137.0,45.362121,4.860863
2434,Bibliotheque Lirenval  Virieu,139 rue champ de mars,38730,Virieu sur Bourbre,120.0,45.484448,5.476964
2436,Mediatheque municipale de Clairvaux-les-Lacs,9 rue du Parterre,39130,Clairvaux-les-Lacs,385.0,46.576332,5.751152
2439,Mediatheque municipale de Foncine-le-Haut,4 rue de l'eglise,39460,Foncine-le-Haut,100.0,46.65982,6.074159
2442,Site de Morez,10 Quai Jobez,39400,Morez - Hauts de Bienne,665.0,46.521181,6.021518
2443,Le Temps des Livres,3 rue Gilbert Cousin,39250,Nozeroy,220.0,46.779035,6.046532
2444,bibliotheque municipale de Patornay,rue de la Mairie,39130,Patornay,55.0,46.585613,5.702348
2446,Mediatheque Antenne de Septmoncel,875 Route de Geneve,39310,Septmoncel,2530.0,46.370354,5.912048
2449,Bibliotheque Municipale,203 RUE DES ECOLES,40230,BENESSE MAREMNE,150.0,43.635384,-1.360598
2450,MEDIATHEQUE DE CASSEN,2 PROMENADE DE LA MARNIERE,40380,CASSEN,831.0,43.760719,-0.860076
2452,Bibliotheque Municipale de Dax,5 RUE DU PALAIS,40100,DAX,1195.0,43.709947,-1.051617
2453,Mediatheque Escource Service Communal,03 3 PLACE DE PLACE DE LA MAIRIE,40210,ESCOURCE,100.0,44.163852,-1.033811
2454,BIBLIOTHEQUE MUNICIPALE DU FRECHE,LE BOURG,40190,LE FRECHE,54.0,43.932293,-0.241075
2458,Mediatheque de Leon,RUE FERNAND DUBOSCQ,40550,LEON,200.0,43.874784,-1.30275
2459,Mediatheque De Moliets Et Maa Maximilien Kogoj,RUE DE LA SOLIDARITE,40660,MOLIETS ET MAA,80.0,43.850697,-1.359648
2460,Mediatheque Onesse-Laharie,281 rue des ecoles,40110,ONESSE ET LAHARIE,1492.0,44.063398,-1.068953
2461,Bibliotheque d'Orthevielle,6 PLACE MONTGAILLARD,40300,ORTHEVIELLE,25.0,43.552463,-1.147703
2462,Mediatheque de Pey,PLACE DE L'eGLISE,40300,PEY,86.0,43.633604,-1.198697
2463,BIBLIOTHEQUE DE POUYDESSEAUX,90 AVENUE DE L'EGLISE,40120,POUYDESSEAUX,80.0,43.969304,-0.328677
2464,Bibliotheque De Poyartin,ROUTE DE MONTFORT,40380,Poyartin,60.0,43.692485,-0.862797
2466,Bibliotheque Municipale Multimedia de Roquefort,1 PLACE DU SOLEIL D'OR,40120,ROQUEFORT,170.0,44.034126,-0.322865
2467,Bibliotheque Municipale,nc nc nc,40390,SAINT ANDRE DE SEIGNANX,31.0,43.55704,-1.352095
2468,Bibliotheque Municipale,163 RUE DES BRUYERES,40200,SAINTE EULALIE EN BORN,60.0,44.274365,-1.181341
2469,Bibliotheque Municipale,72 ROUTE DE LA PAYOLLE,40300,SAINT LON LES MINES,49.0,43.613549,-1.14661
2471,Bibliotheque Municipale,4 IMPASSE DES JARDINS,40230,SAINT VINCENT DE TYROSSE,115.0,43.659507,-1.304544
2472,Mediatheque Municipale,263 AVENUE DU BORN,40460,Sanguinet,280.0,44.481222,-1.07352
2474,BIBLIOTHEQUE DE SORE,PLACE DE LA MAIRIE,40430,SORE,53.0,44.322735,-0.581037
2475,BIBLIOTHEQUE MUNICIPALE,94 RUE D'OROPE,40400,TARTAS,100.0,43.834063,-0.807858
2476,Mediatheque Municipale,26 ROUTE DE LA PLAGE,40560,VIELLE SAINT GIRONS,100.0,43.950148,-1.302007
2477,Bibliotheque de Cellettes,3 place du 11 novembre,41120,Cellettes,78.0,47.527016,1.383681
2478,Bibliotheque de Champigny-en-Beauce,12 Grande rue,41330,Champigny-en-Beauce,113.0,47.711476,1.255634
2479,Bibliotheque Henri LERAY,1 route de Blois,41330,La Chapelle-Vendomoise,50.0,47.670764,1.238259
2480,Bibliotheque Chaumont-sur-Tharonne,Route de Vouzon,41600,Chaumont-sur-Tharonne,50.0,47.612674,1.911072
2481,Bibliotheque Lire a Chitenay,17 grande rue,41120,Chitenay,70.0,47.496834,1.370202
2482,Bibliotheque-Chouzy-sur-Cisse,14 place de la mairie,41150,chouzy sur cisse,145.0,47.522026,1.245891
2483,Bibliotheque-Seillac,10 rue Fernand Boulon,41150,Seillac,6.0,47.545171,1.156242
2484,Bibliotheque de Fontaines-en-Sologne,91 route de Bracieux,41250,Fontaines-en-Sologne,50.0,47.510532,1.54998
2485,Espace Culturel de Gievres,27 rue Andre Bonnet,41130,Gievres,229.0,47.275327,1.668392
2486,Bibliotheque de Landes-le-Gaulois,rue des ecoles,41190,Landes-le-Gaulois,100.0,47.651649,1.182946
2488,Bibliotheque de Moree,allee des erables,41160,Moree,130.0,47.901896,1.232073
2489,Bibliotheque de Pierrefitte-sur-Sauldre,4 rue de Chaon,41300,Pierrefitte-sur-Sauldre,35.0,47.513474,2.151733
2490,Bibliotheque municipale de Saint-Aignan,37 Bis rue Constant Ragot,41110,Saint-Aignan,350.0,47.268869,1.375303
2491,Bibliotheque de Saint-Firmin-des-Pres,22 route de la Mouline,41100,Saint-Firmin-des-Pres,170.0,47.84116,1.108752
2492,Bibliotheque municipale de Sambin,18 rue de la Fontaine St Urbain,41120,Sambin,30.0,47.437883,1.294857
2495,Bibliotheque municipale de Soings-en-Sologne,6 rue de Selles-sur-Cher,41230,Soings-en-Sologne,175.0,47.411217,1.524719
2496,Point lecture de Souge,12 rue de la mairie,41800,Souge,50.0,47.77002,0.727284
2497,Bibliotheque Souvigny-en-Sologne,3 Rue Eugene Labiche,41600,Souvigny-en-Sologne,30.0,47.644209,2.163275
2498,Point-lecture de Thenay,20 place de l'eglise,41400,Thenay,68.0,47.387417,1.288609
2500,Bibliotheque municipale Irene Frain,9 rue Maurice Pasquier,41000,Villebarou,102.0,47.622579,1.324926
2501,Bibliotheque Municipale Ambierle,20 NC cour saint Charles,42820,Ambierle,33.0,46.104023,3.89577
2502,Bibliotheque,le bourg le bourg le bourg,42260,Amions,40.0,45.878129,4.035234
2503,Mediatheque Municipale,Place Jules Verne,42160,Bonson,190.0,45.525931,4.219509
2505,Mediatheque Municipale,rue,42600,Champdieu,70.0,45.639915,4.045761
2506,Bibliotheque  de Cottance,96 place de l'Abbe Couchoud,42360,Cottance,18.0,45.793257,4.296177
2507,Bibliotheque Municipale,PLACE DES TILLEULS,42260,Cremeaux,48.0,45.906607,3.932648
2509,Bibliotheque,1 rue de l'Ecole,42140,Fontanes,60.0,45.546733,4.437248
2511,Bibliotheque De Grammond,359 RUE DE LA PASSEMENTERIE,42140,GRAMMOND,68.0,45.565879,4.43981
2512,Bibliotheque,27 rue chenes,42210,L'Hopital-le-Grand,100.0,45.592703,4.20042
2514,Bibliotheque De Luriecq,119 PLACE DE L'EGLISE,42380,Luriecq,60.0,45.451581,4.079845
2516,Point Lecture  / Espace Public Numerique du Mayollet,26 RUE DU MAYOLLET,42300,Roanne,140.0,46.02378,4.051346
2518,Bibliotheque Municipale De Sail-Sous-Couzan,2 place de la Mairie,42890,Sail-sous-Couzan,40.0,45.734799,3.971741
