,Libelle1,voie,CP,Ville,surface,lat,long
178,Bibliotheque Municipale,PLACE DE L'HOTEL DE VILLE,64260,Arudy,220.0,43.105653,-0.428178
182,Bibliotheque Municipale Andre Moine,Rue Lucie Aubrac,64340,Boucau,180.0,43.523529,-1.485705
183,Mediatheque Municipale,14 AVENUE DE LA MAIRIE,64250,Cambo-les-Bains,332.0,43.360858,-1.398461
184,Bibliotheque De Carrere,2 ROUTE DEPARTEMENTALE 42,64160,Carrere,60.0,43.485077,-0.278381
185,Halte-lecture,209 Chemin Du Bourg,64330,CONCHEZ-DE-BeARN,30.0,43.544783,-0.169362
186,Mediatheque de Garlin,1 place Henri Sibor,64330,Garlin,189.0,43.562722,-0.269582
191,MEDIATHEQUE MUNICIPALE,14 RUE FRERES BARRENNE,64130,MAULEON-LICHARRE,370.0,43.222195,-0.889602
193,Bibliotheque De Montardon,2 CHEMIN DE PAU,64121,Montardon,104.0,43.367638,-0.349996
197,Bibliotheque municipale d'OUILLON,1 cami las bordes,64160,Ouillon,52.0,43.320675,-0.224935
200,Bibliotheque Municipale De PORTET,12 rue de la Resistance,64330,PORTET,50.0,43.578889,-0.185675
201,Point lecture,Centre Bourg,64220,Saint-Jean-le-Vieux,20.0,43.165057,-1.194576
204,Bibliotheque Municipale de SAUVAGNON,1 CHEMIN DE MARIANNE,64230,SAUVAGNON,100.0,43.403446,-0.38743
206,Bibliotheque D'uzein,PLACE DE LA MAIRIE,64230,Uzein,69.0,43.398724,-0.432427
208,Mediatheque municipale,1 RUE JEAN BOURDETTE,65400,Argeles-Gazost,140.0,43.002749,-0.101873
209,Agence postale - Bibliotheque,6 Place de la mairie,65670,Arne,30.0,43.177753,0.490298
210,Mediatheque municipale,1 rue du Gabizos,65400,Arras en Lavedan,75.0,42.990836,-0.128091
212,Bibliotheque Municipale,3 rue du XI novembre,65460,Bazet,100.0,43.29059,0.076697
215,Bibliotheque Municipale,place de l'eglise,65350,Cabanac,30.0,43.268196,0.228129
217,Le relais de la Poste,rue du Bourg,65250,Heches,70.0,43.014426,0.372353
222,Bibliotheque Municipale,RUE rue la fete,65350,Marseillan,35.0,43.302641,0.215177
223,Bibliotheque Municipale,30 place de la mairie,65200,Montgaillard,25.0,43.124716,0.10859
224,Bibliotheque de Seron,17 Chemin de l'eglise,65320,Seron,65.0,43.322032,-0.096632
225,Bibliotheque Municipale,Espace Jacques Bourdil,65370,Siradan,12.0,42.9698474653,0.614553890336
228,Bibliotheque Municipale,35 route des Baronnies,65130,Tilhouse,30.0,43.08752,0.310515
229,Bibliotheque Municipale,20 rue de Marque Debat,65260,Villelongue,10.0,42.95357,-0.061991
233,Bibliotheque Municipale,53 avenue Marechal joffre,66430,Bompas,90.0,42.731909,2.933414
234,Mediatheque Municipale,1 RUE LEON JEAN GREGORY,66160,Le Boulou,600.0,42.526822,2.83067
235,Espace Mediatheque,Place de Catalogne,66760,Bourg-Madame,120.0,42.433983,1.944487
236,Bibliotheque De Corbere-Les-Cabanes,1 avenue Marechal Foch,66130,Corbere-les-Cabanes,1422.0,42.658002,2.674873
240,bibliotheque municipale,avenue des ecoles,66720,Latour-de-France,106.0,42.76885,2.655394
242,Bibliotheque Municipale,86 AVENUE EMMANUEL BROUSSE,66120,Font-Romeu-Odeillo-Via,159.0,42.504832,2.0408
243,Mediatheque d'Olette,102 avenue General de Gaulle,66360,OLETTE,100.0,42.554927,2.269953
252,Bibliotheque-Mediatheque Municipale Martin VIVES,0 rue de la Liberation,66270,Le Soler,111.0,42.681925,2.794256
256,Bibliotheque Municipale,Place de la Promenade,66200,Theza,100.0,42.638021,2.951966
260,Cour des Boecklin,17 RUE NATIONALE,67800,Bischheim,400.0,48.614711,7.75516
261,Bibliotheque Municipale,1 RUE DES PRES,67113,Blaesheim,120.0,48.506024,7.609741
263,Bibliotheque Municipale,40 Grand'Rue,67430,Diemeringen,80.0,48.939589,7.186931
265,Bibliotheque municipale,7 allee du Stade,67120,Ernolsheim-Bruche,168.0,48.560869,7.567088
266,Mediatheque Municipale Jean Egen,10 RUE GERMAIN MULLER,67114,ESCHAU,468.0,48.486695,7.716653
267,Point lecture,20 rue principale,67140,Gertwiller,145.0,48.410978,7.467964
268,Bibliotheque municipale,47 rue du General de Gaulle,67870,Griesheim-pres-Molsheim,147.0,48.502791,7.532722
269,Point lecture,29 RUE PRINCIPALE,67117,Handschuheim,45.0,48.602928,7.576713
270,Bibliotheque Municipale,3 rue de Steinbourg,67330,Hattmatt,75.0,48.790942,7.422385
272,Bibliotheque Municipale,6 rue de Limoges,67850,Herrlisheim,225.0,48.730227,7.90397
