,Caracteristique_du_site,Adresse,Code_postal,Localite,Latitude,Longitude,Numero_de_telephone
59,Agence postale communale,33 ROUTE DE GASCOGNE,33490,ST MAIXANT,"44,577171","-0,258644",3631
60,Agence postale communale,32 LE BOURG EST,33350,ST PHILIPPE D AIGUILLE,"44,913995","-0,031645",3631
61,Relais poste commerçant,30 ROUTE D ASQUES,33240,ST ROMAIN LA VIRVEE,"44,965014","-0,399451",3631
62,Bureau de Poste,1 RUE GEORGES MANDEL,33590,ST VIVIEN DE MEDOC,"45,431696","-1,035694",3631
63,Bureau de Poste,1 AVENUE DE LA TOUR,33370,SALLEBOEUF,"44,842498","-0,397172",3631
64,Agence postale communale,43 AVENUE CHARLES DE GAULLE,33650,SAUCATS,"44,652296","-0,596282",3631
65,Bureau de Poste,24 PLACE DE LA REPUBLIQUE,33540,SAUVETERRE DE GUYENNE,"44,692898","-0,085349",3631
66,Agence postale communale,6 ROUTE DU BOURG,33590,TALAIS,"45,469796","-1,059391",3631
67,Bureau de Poste,1 AVENUE DES ECOLES,33370,TRESSES,"44,848293","-0,463662",3631
68,Bureau de Poste,11 RUE MARCEL DESBLACHES,33123,LE VERDON SUR MER,"45,546149","-1,065537",3631
69,Bureau de Poste,RUE DANIEL DARTIGUE,33730,VILLANDRAUT,"44,457197","-0,371907",3631
70,Bureau de Poste,29 AVENUE DU MARECHAL FOCH,33140,VILLENAVE D ORNON,"44,769586","-0,54401",3631
71,Bureau de Poste,CENTRE COMMERCIAL DES 4 PAVILLONS,33310,LORMONT,"44,866994","-0,516464",3631
72,Bureau de Poste,CENTRE COMMERCIAL DRAVEMONT,33270,FLOIRAC,"44,845297","-0,511131",3631
73,Relais poste commerçant,PLACE DE LA MAIRIE,46500,THEGRA,"44,82171","1,75623",3631
74,Bureau de Poste,RUE DE L HORLOGE,33600,PESSAC,"44,790898","-0,630042",3631
75,Bureau de Poste,19 PLACE DE LA VICTOIRE,33000,BORDEAUX,"44,830518","-0,572253",3631
76,Bureau de Poste,10 PLACE DE L EGLISE SAINT AUGUSTIN,33000,BORDEAUX,"44,8323","-0,6111",3631
77,Agence postale communale,1 AVENUE SOPHIE WALLERSTEIN,33510,ANDERNOS LES BAINS,"44,730195","-1,08301",3631
